time,open,high,low,close,Up Marker,Down Marker,VWAP
2026-04-14T17:35:00-05:00,25995,25998.5,25993.5,25996,0,0,26000.979916346412
2026-04-14T17:36:00-05:00,25995.75,26000.75,25995,26000.25,0,0,26000.942285294226
2026-04-14T17:37:00-05:00,25999.5,26004.75,25999.5,26001.5,1,0,26000.968358605565
2026-04-14T17:38:00-05:00,26001.75,26004.75,26000.75,26003.75,0,0,26000.99765897013
2026-04-14T17:39:00-05:00,26004.75,26005.25,26003,26003.75,0,0,26001.02804836018
2026-04-14T17:40:00-05:00,26004.75,26005,26000.75,26003,0,0,26001.05079301075
2026-04-14T17:41:00-05:00,26003,26005,26001.75,26004.25,0,0,26001.066867040696
2026-04-14T17:42:00-05:00,26004.75,26006.25,26002.25,26002.25,0,0,26001.096367780887
2026-04-14T17:43:00-05:00,26002.75,26003.5,26001,26002.25,0,0,26001.10092
2026-04-14T17:44:00-05:00,26002,26002.5,26000.25,26002,0,0,26001.10389440669
2026-04-14T17:45:00-05:00,26002.25,26004,25999.5,26001.5,0,0,26001.111326042846
2026-04-14T17:46:00-05:00,26001,26002,25998.25,26000,0,0,26001.09818624705
2026-04-14T17:47:00-05:00,26000.25,26001.25,25998.25,25999.75,0,0,26001.088574847472
2026-04-14T17:48:00-05:00,25999.75,26000.25,25993.75,25995.5,0,0,26001.00229862248
2026-04-14T17:49:00-05:00,25996,25998.25,25995.25,25997.25,0,0,26000.96733231682
2026-04-14T17:50:00-05:00,25997,25999,25996.75,25997.75,0,0,26000.950619699932
2026-04-14T17:51:00-05:00,25997.5,25998.75,25996.75,25997.5,0,0,26000.922900294296
2026-04-14T17:52:00-05:00,25998,25999,25995,25995.75,0,0,26000.88409455128
2026-04-14T17:53:00-05:00,25995.75,25998,25994.5,25997.25,0,0,26000.83827213343
2026-04-14T17:54:00-05:00,25997.25,25998,25995,25996.5,0,0,26000.812427107954
2026-04-14T17:55:00-05:00,25996.5,25997,25994.75,25995.5,0,0,26000.783156270074
2026-04-14T17:56:00-05:00,25995.75,25996.75,25992.5,25994.5,0,0,26000.719981078226
2026-04-14T17:57:00-05:00,25995,25996,25993.5,25994.75,0,0,26000.684636139373
2026-04-14T17:58:00-05:00,25995,25998,25995,25996.5,1,0,26000.641914266962
2026-04-14T17:59:00-05:00,25996.5,25997.5,25995.5,25995.75,0,0,26000.617719146478
2026-04-14T18:00:00-05:00,25996,25997,25993.75,25995.25,0,0,26000.565313589374
2026-04-14T18:01:00-05:00,25994.75,26000,25994,26000,0,0,26000.54012
2026-04-14T18:02:00-05:00,25999.5,26000.5,25997,26000,0,0,26000.518699562075
2026-04-14T18:03:00-05:00,25999.75,26000,25997.25,25997.25,0,0,26000.503911423537
2026-04-14T18:04:00-05:00,25997,25999.5,25996.5,25998.25,0,0,26000.491190352095
2026-04-14T18:05:00-05:00,25998.75,26002,25998.75,26000.25,1,0,26000.489629024392
2026-04-14T18:06:00-05:00,26001.5,26003.25,26000,26002.75,0,0,26000.50020639394
2026-04-14T18:07:00-05:00,26003,26010.5,26001.75,26009.75,0,0,26000.729199339657
2026-04-14T18:08:00-05:00,26010.25,26012,26006.75,26008.5,0,0,26000.887169156842
2026-04-14T18:09:00-05:00,26009.25,26010.5,26008.5,26008.75,0,0,26000.925929657686
2026-04-14T18:10:00-05:00,26009.25,26010,26006,26008,0,0,26000.982775623335
2026-04-14T18:11:00-05:00,26007.75,26010,26007.75,26008.25,1,0,26001.019463122848
2026-04-14T18:12:00-05:00,26008.25,26008.75,26006.25,26006.75,0,0,26001.052015304434
